time,stage,split,step,loss,bleu,chrf,lr,batch_size
1779642763.631603,mt,train,25,11.86278502146403,,,2.5e-05,10
1779642789.1519217,mt,train,50,11.194173812866211,,,5e-05,10
1779642813.6557367,mt,train,75,11.29904556274414,,,7.500000000000001e-05,10
1779642838.2533038,mt,train,100,10.987864971160889,,,0.0001,10
1779642862.5449057,mt,train,125,11.368330160776773,,,9.980973490458728e-05,10
1779642886.8464904,mt,train,150,11.48435386021932,,,9.924038765061042e-05,10
1779642910.999799,mt,train,175,11.84136438369751,,,9.829629131445342e-05,10
1779642935.1078746,mt,train,200,11.175694465637207,,,9.698463103929542e-05,10
1779642942.8329186,mt,train,200,11.45566838979721,0.052398061927193366,3.789891278100901,9.698463103929542e-05,10
1779642942.8332992,mt,valid,200,11.388830184936523,0.040741850762181016,3.6698075737066045,9.698463103929542e-05,10
1779642966.9020321,mt,train,225,11.651070276896158,,,9.53153893518325e-05,10
1779642990.777983,mt,train,250,11.853616714477539,,,9.330127018922194e-05,10
1779643015.0424018,mt,train,275,11.751620133717855,,,9.09576022144496e-05,10
1779643039.2701063,mt,train,300,11.800229549407959,,,8.83022221559489e-05,10
1779643063.9518096,mt,train,325,11.503942648569742,,,8.535533905932738e-05,10
1779643089.1392226,mt,train,350,11.807889143625895,,,8.213938048432697e-05,10
1779643114.1100707,mt,train,375,11.206459999084473,,,7.86788218175523e-05,10
1779643138.9785018,mt,train,400,11.639893054962158,,,7.500000000000001e-05,10
1779643397.986984,mt,train,400,11.351539850234985,0.013814700534686091,3.6159993421336702,7.500000000000001e-05,10
1779643397.9874163,mt,valid,400,11.279738366603851,0.013297014502554624,3.5505709269220356,7.500000000000001e-05,10
1779643422.580348,mt,train,425,11.430991331736246,,,7.113091308703498e-05,10
1779643447.857975,mt,train,450,11.849292596181234,,,6.710100716628344e-05,10
1779643473.2996264,mt,train,475,11.098865032196045,,,6.294095225512603e-05,10
1779643498.304629,mt,train,500,11.33942969640096,,,5.868240888334653e-05,10
1779643523.2635176,mt,train,525,11.44478209813436,,,5.435778713738292e-05,10
1779643548.1659331,mt,train,550,11.043623765309652,,,5e-05,10
1779643573.276603,mt,train,575,11.114068190256754,,,4.564221286261709e-05,10
1779643598.4304054,mt,train,600,11.634342511494955,,,4.131759111665349e-05,10
1779643848.7510753,mt,train,600,11.20141190290451,0.07724579774631053,4.508593912416765,4.131759111665349e-05,10
1779643848.7514706,mt,valid,600,11.135889768600464,0.05396755448070579,4.7834457936237795,4.131759111665349e-05,10
1779643874.2769618,mt,train,625,11.08755366007487,,,3.705904774487396e-05,10
1779643899.450422,mt,train,650,11.117962201436361,,,3.289899283371657e-05,10
1779643924.835726,mt,train,675,11.32168181737264,,,2.886908691296504e-05,10
1779643950.3112068,mt,train,700,10.636201858520508,,,2.500000000000001e-05,10
1779643975.9674885,mt,train,725,11.095346291859945,,,2.132117818244771e-05,10
1779644000.9112039,mt,train,750,11.919669151306152,,,1.7860619515673033e-05,10
1779644025.9236736,mt,train,775,11.14070733388265,,,1.4644660940672627e-05,10
1779644051.2095203,mt,train,800,11.637895425160727,,,1.1697777844051105e-05,10
1779644284.244495,mt,train,800,11.13247150182724,0.09279049545908377,5.313587928233747,1.1697777844051105e-05,10
1779644284.2450504,mt,valid,800,11.062852501869202,0.07739179266135132,5.3940194567054425,1.1697777844051105e-05,10
1779644310.1642702,mt,train,825,11.481735070546469,,,9.042397785550405e-06,10
1779644335.6997397,mt,train,850,11.444321473439535,,,6.698729810778065e-06,10
1779644361.167481,mt,train,875,10.682111740112305,,,4.684610648167503e-06,10
1779644386.9548047,mt,train,900,11.172250906626383,,,3.0153689607045845e-06,10
1779644412.8516974,mt,train,925,10.986594359079996,,,1.70370868554659e-06,10
1779644438.144996,mt,train,950,11.190487702687582,,,7.596123493895991e-07,10
1779644463.94141,mt,train,975,10.930827458699545,,,1.9026509541272275e-07,10
1779644489.13351,mt,train,1000,10.825899283091227,,,0.0,10
1779644732.608615,mt,train,1000,11.117253959178925,0.06464142831617217,4.767475483339584,0.0,10
1779644732.609177,mt,valid,1000,11.048262357711792,0.06069237016027216,4.6457974023189985,0.0,10
